split,class_id,class_label,count,fraction
train,0,1,13775,0.95
train,1,2,4,0.00027586206896551725
train,2,3,14,0.0009655172413793104
train,3,4,507,0.03496551724137931
train,4,5,197,0.013586206896551723
train,5,6,1,6.896551724137931e-05
train,6,7,2,0.00013793103448275863
val,0,1,20663,0.73078691423519
val,1,2,34,0.0012024756852343059
val,2,3,100,0.0035366931918656055
val,3,4,5442,0.19246684350132626
val,4,5,2026,0.07165340406719717
val,5,6,5,0.00017683465959328028
val,6,7,5,0.00017683465959328028
test,0,1,11148,0.7322167487684729
test,1,2,12,0.0007881773399014779
test,2,3,57,0.00374384236453202
test,3,4,2954,0.19402298850574712
test,4,5,1044,0.06857142857142857
test,5,6,4,0.0002627257799671593
test,6,7,6,0.00039408866995073894
